TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
3.52208,401342.6,245556.6,302,147746.8,69895.84,302,419.8037,1029.36,661.3066,781.9928,836.2469,2210.704,2370.351,11522.14,1287.347,A1
6.375611,361862.3,240058.6,292,134047,78925.28,292,205.4045,236.8207,2806.227,135.7534,525.0024,1018.751,537.538,9461.505,510.1209,B1
7.642183,356395.6,197313.8,309,187155.3,107165,309,5707.021,1573.032,761.2376,263.4869,149.2031,4318.003,1413.362,5356.919,1457.697,C1
10.50194,536013.8,324823.5,313,211642,108566.1,313,2694.525,606.9329,711.4329,379.7986,438.7467,2688.568,1529.735,9492.253,861.4277,D1
11.47675,335462,201063.5,300,171473.8,82555.2,300,226.1667,287.7328,1314.819,600.2534,32.60914,212.5772,1054.835,7773.332,721.7712,E1
13.28728,485430.4,295115.5,314,129905.4,60136.16,314,310.9735,299.4467,1748.821,918.5914,726.9957,343.5789,1241.437,7079.115,904.1083,F1
15.29104,418076.5,215992,319,183400.5,97305.6,319,11307.93,444.3704,821.6638,1318.807,-109.1843,18681.88,26040.35,11827.67,295.9865,G1
16.51277,614031.6,295396.7,345,256530.6,115784.5,345,5685.383,2039.423,1524.771,922.0024,-126.0685,6720.203,1686.996,3545.849,2396.787,H1
17.41267,451143.3,314301.1,296,166610.7,94365.6,296,255.809,809.9385,982.5577,240.2294,2172.735,1507.285,1237.83,10880.94,282.3734,I1
18.69494,353867.8,192418.2,309,160135.9,91125.44,309,253.0237,1182.032,2160.183,175.1244,1552.609,408.4851,950.3572,5222.263,886.5981,J1
